Username,Password,Email,Easy_points,Medium_points,Hard_points
JohnDoe,922E76A956107862CEB4F100B4AE742000BBECA04ADF59D5490BA5E284055D5B,JohnDoe@gmail.com,6,2,5
easybot_1,23FB43A5D35ED9001AFCFC22935010DBE5B4B03CB8EBB35D8E220AF715D22A57,easybot_1@gmail.com,1,0,0
easybot_2,922E76A956107862CEB4F100B4AE742000BBECA04ADF59D5490BA5E284055D5B,easybot_2@gmail.com,2,0,0
easybot_3,C143D841A0EB638808C25F1B9A106187392007C08D90074DAEDD14E6B31ABEF3,easybot_3@gmail.com,3,0,0
mediumbot_1,58B0B88A778BC233D21FE9A8C2487183CD2D690D84F035D69994B48D4A879F3C,mediumbot_1@gmail.com,0,1,0
mediumbot_2,16EAB0D2772511E8FDA724A3CC2669523519A3DD7B2EBFE7D0ADF35C08C19784,mediumbot_2@gmail.com,0,2,0
mediumbot_3,1B21CED027815446AD2A1E2BF6387B2C2998AA5E4E0BF2F69000046C0CF8B582,mediumbot_3@gmail.com,0,3,0
hardbot_1,D0BF7C6AA9B82E85515374A94FBD1BBB421913BFDF5CE5AFEE9657EBC296631C,hardbot_1@gmail.com,0,0,1
hardbot_2,638B5B933479F4571690379575490F222417F66508916976E960557E55624245,hardbot_2@gmail.com,0,0,2
hardbot_3,93E79F32467B673A8C6A976661B684F8B32A1AE1F5283B214E63259E85BE85E4,hardbot_3@gmail.com,0,0,3
Nischalnoob,016B729A937C280654E709910FB7D2219A16922C3C469BC9E02501B7F342594C,Nischalnoob@gmail.com,5,0,1
RuslandGlek,93977512AAD95E855D17BF9F3C47519035FE227A48BC43AB8AA41662856E5BC4,RuslandGlek@gmail.com,0,0,0
